Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11664,2022-03-16,0.0076447403,-0.042475625,-0.055870852,21,100
Market-Adjusted Model,11674,2022-03-16,0.112421307,0.0438779606,0.0489057146,21,100
Market-Adjusted Model,11691,2022-03-16,0.1722111408,0.0990477516,0.1086955484,21,100
Market-Adjusted Model,11701,2022-03-16,0.1017956783,0.0377217711,0.0382800859,21,100
Market-Adjusted Model,11731,2022-03-16,0.0252645587,-0.03672708,-0.038251034,21,100
Market-Adjusted Model,11748,2022-03-16,0.018334588,-0.042339906,-0.045181004,21,100
Market-Adjusted Model,11752,2022-03-16,0.0783246652,0.0238649752,0.0148090728,21,100
Market-Adjusted Model,11762,2022-03-16,0.0673246221,0.0040729257,0.0038090297,21,100
Market-Adjusted Model,11775,2022-03-16,-0.021944354,-0.081427804,-0.085459946,21,100
Market-Adjusted Model,11786,2022-03-16,0.0164192501,-0.030888079,-0.047096342,21,100
Market-Adjusted Model,11790,2022-03-16,0.1046111183,0.0422783316,0.0410955259,21,100
Market-Adjusted Model,11803,2022-03-16,-0.01294282,-0.070724081,-0.076458412,21,100
Market-Adjusted Model,11809,2022-03-16,0.1927965761,0.1165601842,0.1292809837,21,100
Market-Adjusted Model,11825,2022-03-16,0.1574025502,0.0958220211,0.0938869578,21,100
Market-Adjusted Model,11844,2022-03-16,-0.000472531,-0.061838961,-0.063988123,21,100
Market-Adjusted Model,11845,2022-03-16,0.0347721798,-0.019942031,-0.028743413,21,100
Market-Adjusted Model,11850,2022-03-16,0.0582291372,0.0007946511,-0.005286455,21,100
Market-Adjusted Model,11884,2022-03-16,-0.015002775,-0.073787217,-0.078518368,21,100
Market-Adjusted Model,11891,2022-03-16,0.0296440985,-0.021939206,-0.033871494,21,100
Market-Adjusted Model,11955,2022-03-16,0.0923783598,0.0272824442,0.0288627674,21,100
Market-Adjusted Model,11990,2022-03-16,0.0270130123,-0.022279835,-0.03650258,21,100
Market-Adjusted Model,11995,2022-03-16,0.0160566822,-0.037958427,-0.04745891,21,100
Market-Adjusted Model,11996,2022-03-16,0.0093283564,-0.053815365,-0.054187236,21,100
Market-Adjusted Model,12008,2022-03-16,0.1256239548,0.0633689734,0.0621083624,21,100
Market-Adjusted Model,12009,2022-03-16,0.1757678697,0.1158934539,0.1122522773,21,100
Market-Adjusted Model,12015,2022-03-16,0.0824034623,0.0186103663,0.0188878699,21,100
Market-Adjusted Model,12017,2022-03-16,0.121495312,0.0912537385,0.0579797196,21,100
Market-Adjusted Model,12034,2022-03-16,0.0006527575,-0.062202601,-0.062862835,21,100
Market-Adjusted Model,12035,2022-03-16,0.0187334839,-0.043127624,-0.044782108,21,100
Market-Adjusted Model,12036,2022-03-16,0.2069887427,0.1266737656,0.1434731503,21,100
Market-Adjusted Model,12039,2022-03-16,-0.07499552,-0.13911327,-0.138511113,21,100
Market-Adjusted Model,12049,2022-03-16,0.2656137869,0.1894028169,0.2020981945,21,100
Market-Adjusted Model,12052,2022-03-16,0.0471455518,-0.014320839,-0.016370041,21,100
Market-Adjusted Model,12054,2022-03-16,0.0834259238,0.019915375,0.0199103314,21,100
Market-Adjusted Model,12059,2022-03-16,-0.040506292,-0.105210954,-0.104021884,21,100
Market-Adjusted Model,12060,2022-03-16,0.0253289306,-0.034894498,-0.038186662,21,100
Market-Adjusted Model,12062,2022-03-16,-0.000185792,-0.062617666,-0.063701385,21,100
Market-Adjusted Model,12064,2022-03-16,-0.01608734,-0.080295988,-0.079602933,21,100
Market-Adjusted Model,12065,2022-03-16,-0.023244641,-0.08708305,-0.086760233,21,100
Market-Adjusted Model,12066,2022-03-16,0.0777351928,0.0283663357,0.0142196004,21,100
Market-Adjusted Model,12068,2022-03-16,-0.024242545,-0.084308967,-0.087758137,21,100
Market-Adjusted Model,12070,2022-03-16,0.1075630847,0.0433161209,0.0440474923,21,100
Market-Adjusted Model,12073,2022-03-16,0.0458054225,-0.013159154,-0.01771017,21,100
Market-Adjusted Model,12075,2022-03-16,-0.00085004,-0.064149567,-0.064365632,21,100
Market-Adjusted Model,12076,2022-03-16,0.1341300073,0.0858563125,0.0706144148,21,100
Market-Adjusted Model,12078,2022-03-16,0.0163265168,-0.041438005,-0.047189076,21,100
Market-Adjusted Model,12082,2022-03-16,0.0513315289,0.0247261624,-0.012184064,21,100
Market-Adjusted Model,12084,2022-03-16,0.039032323,-0.016085698,-0.024483269,21,100
